Row #,Species,Count,Location,S/P,Date,LocID,SubID
906,Boat-billed Flycatcher,1,Volta Velha Reserve,BR-SC,05 Dec 2010,L1417154,S11312563
907,Rusty-margined Flycatcher,1,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
908,Social Flycatcher,1,Volta Velha Reserve,BR-SC,05 Dec 2010,L1417154,S11312563
909,Gray-capped Flycatcher,2,Achiote Rd. (general location),PA-3,14 Apr 2018,L454695,S44575629
910,Streaked Flycatcher,1,Sao Luis do Purunã,BR-PR,09 Dec 2010,L1651598,S11312571
911,Sulphur-bellied Flycatcher,2,Madera Canyon--Madera Kubo B&B,US-AZ,20 Jul 2014,L296632,S19183487
912,Piratic Flycatcher,1,Río Tortí,PA-8,09 Apr 2018,L5641280,S44451671
913,Variegated Flycatcher,1,Volta Velha Reserve,BR-SC,05 Dec 2010,L1417154,S11312563
914,Tropical Kingbird,,Lake Merced--Concrete Bridge area,US-CA,09 Nov 2008,L791371,S9839432
915,Couch's Kingbird,4,Estero Llano Grande SP WBC (LTC 054),US-TX,04 Mar 2017,L259855,S34966789
916,Cassin's Kingbird,,Lake Los Carneros Park,US-CA,26 Nov 2010,L336013,S9841190
917,Thick-billed Kingbird,1,Patagonia-Sonoita Creek Preserve,US-AZ,22 Jul 2012,L129052,S11253840
918,Western Kingbird,,Pillar Point Harbor,US-CA,29 May 2010,L242192,S9839957
919,Eastern Kingbird,2,Kennebunk Plains,US-ME,23 Jun 2013,L167477,S14535069
920,Gray Kingbird,10,Crandon Park,US-FL,12 May 2017,L127422,S36761226
921,Scissor-tailed Flycatcher,1,Miramontes Point,US-CA,01 Dec 2014,L601787,S20751109
922,Fork-tailed Flycatcher,1,Parque Barigui,BR-PR,09 Dec 2010,L2433781,S11312568
923,Superb Lyrebird,1,Toolangi State Forest,AU-VIC,19 Sep 2011,L2041763,S9847141
924,Satin Bowerbird,1,Healesville,AU-VIC,18 Sep 2011,L1418180,S9847093
925,White-throated Treecreeper,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
926,Southern Emuwren,2,Anglesea - Bald Hills Road,AU-VIC,24 Sep 2011,L1651604,S11312579
927,Superb Fairywren,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
928,Eastern Spinebill,1,Toolangi State Forest,AU-VIC,19 Sep 2011,L2041763,S9847141
929,Tui,1,Pureorea central block (general)--aka Pikiariki Ecological Area,NZ-MWT,29 Sep 2011,L8209525,S9850010
930,New Zealand Bellbird,1,Waikato River Trail--Whakamaru to/from Atiamuri (General),NZ-WKO,29 Sep 2011,L1418724,S9850008
931,Lewin's Honeyeater,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
932,Yellow-faced Honeyeater,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
933,Bell Miner,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
934,Red Wattlebird,,Healesville,AU-VIC,18 Sep 2011,L1418180,S9847093
935,Yellow Wattlebird,,"AJ White Park, Hobart",AU-TAS,06 Dec 2008,L1416834,S9839496
936,White-plumed Honeyeater,1,Western Treatment Plant,AU-VIC,24 Sep 2011,L921850,S11312584
937,White-fronted Chat,1,Western Treatment Plant,AU-VIC,24 Sep 2011,L921850,S11312584
938,Tawny-crowned Honeyeater,1,Anglesea - Bald Hills Road,AU-VIC,24 Sep 2011,L1651604,S11312579
939,New Holland Honeyeater,1,Point Addis,AU-VIC,24 Sep 2011,L921929,S11312577
940,White-eared Honeyeater,1,Anglesea - Bald Hills Road,AU-VIC,24 Sep 2011,L1651604,S11312579
941,White-naped Honeyeater,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
942,Brown-headed Honeyeater,1,"Goulburn River, Trawool",AU-VIC,19 Sep 2011,L2552098,S11312574
943,Rufous Bristlebird,1,Point Addis,AU-VIC,24 Sep 2011,L921929,S11312577
944,Spotted Pardalote,1,Anglesea - Bald Hills Road,AU-VIC,24 Sep 2011,L1651604,S11312579
945,Striated Pardalote,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
946,White-browed Scrubwren,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
947,Large-billed Scrubwren,1,Toolangi State Forest,AU-VIC,19 Sep 2011,L2041763,S9847141
948,Striated Fieldwren,1,Western Treatment Plant,AU-VIC,24 Sep 2011,L921850,S11312584
949,Buff-rumped Thornbill,3,Seymour Bushland Park,AU-VIC,19 Sep 2011,L2552424,S9847174
950,Brown Thornbill,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
951,Yellow-rumped Thornbill,1,"Goulburn River, Trawool",AU-VIC,19 Sep 2011,L2552098,S11312574
952,Striated Thornbill,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
953,Weebill,1,"Goulburn River, Trawool",AU-VIC,19 Sep 2011,L2552098,S11312574
954,Golden-bellied Gerygone,1,"Mangrove Information Center, Taman Hutan Rakyat Ngurah Rai",ID-NU,26 Jul 2010,L6426678,S9840123
955,Western Gerygone,2,Cummins Reserve and Wetlands,AU-VIC,19 Sep 2011,L1418196,S9847167
956,Gray Gerygone,1,Waikato River Trail--Whakamaru to/from Atiamuri (General),NZ-WKO,29 Sep 2011,L1418724,S9850008
957,Small Minivet,10,Thattekkad--Dormitory,IN-KL,27 Feb 2011,L3789514,S10224796
958,Black-faced Cuckooshrike,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
959,Whitehead,,Waikato River Trail--Whakamaru to/from Atiamuri (General),NZ-WKO,29 Sep 2011,L1418724,S9850008
960,Crested Shrike-tit,1,Cummins Reserve and Wetlands,AU-VIC,19 Sep 2011,L1418196,S9847167
961,Scrub Greenlet,1,Río Tortí,PA-8,09 Apr 2018,L5641280,S44451671
962,Tawny-crowned Greenlet,2,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
963,Lesser Greenlet,1,Nusagandi,PA-KY,09 Apr 2018,L1345857,S44419686
964,Golden-fronted Greenlet,1,Summit Ponds,PA-8,13 Apr 2018,L589165,S44541076
965,White-eyed Vireo,4,Cape Island--Higbee Beach WMA,US-NJ,31 May 2014,L109135,S18641371
966,Bell's Vireo,3,Florida Wash at Madera Canyon Rd,US-AZ,21 Jul 2012,L128965,S11247274
967,Hutton's Vireo,3,San Marcos Foothills Preserve,US-CA,19 Feb 2012,L807319,S9986967
968,Yellow-throated Vireo,5,Sky Meadows State Park,US-VA,14 Jun 2015,L159404,S23907283
969,Cassin's Vireo,1,Mt. Davidson,US-CA,21 Apr 2012,L419667,S10513148
970,Blue-headed Vireo,1,White Mt. NF--Caps Ridge Trail,US-NH,29 Jun 2014,L317294,S18963504
971,Plumbeous Vireo,6,Madera Canyon--Carrie Nation Trail,US-AZ,20 Jul 2014,L2413068,S19183488
972,Philadelphia Vireo,2,Grafton Notch SP--Appalachian Trail parking lot,US-ME,28 Jun 2016,L4646306,S30431076
973,Warbling Vireo,,UC Berkeley--Botanical Gardens,US-CA,13 Apr 2011,L272860,S9846518
974,Red-eyed Vireo,5,Belleplain SF--Sunset Bridge & triangle area,US-NJ,01 Jun 2014,L303100,S18656682
975,Chivi Vireo,1,Parque Barigui,BR-PR,09 Dec 2010,L2433781,S11312568
976,Yellow-green Vireo,1,Bayano Lake bridge,PA-8,09 Apr 2018,L473666,S44451298
977,Gray Shrikethrush,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
978,Golden Whistler,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
979,Rufous Whistler,1,Anglesea - Bald Hills Road,AU-VIC,24 Sep 2011,L1651604,S11312579
980,Black-naped Oriole,1,Thattekkad--Dormitory,IN-KL,27 Feb 2011,L3789514,S10224796
981,Western Black-headed Oriole,1,Kakum NP--Canopy Walkway & vicinity,GH-CP,05 Nov 2011,L1268559,S11312594
982,Ashy Woodswallow,2,Thattekkad--Dormitory,IN-KL,27 Feb 2011,L3789514,S10224796
983,White-breasted Woodswallow,2,Jakarta--Ragunan Zoo,ID-JW,29 Jul 2010,L1122082,S9840162
984,Dusky Woodswallow,,Donellys Weir,AU-VIC,19 Sep 2011,L2552019,S9847125
985,Australian Magpie,,Royal Tasmanian Botanical Gardens,AU-TAS,07 Dec 2008,L921573,S9839506
986,Pied Currawong,2,Healesville,AU-VIC,18 Sep 2011,L1418180,S9847093
987,Gray Currawong,1,Point Addis,AU-VIC,24 Sep 2011,L921929,S11312577
988,Senegal Batis,1,Shai Hills Resource Reserve,GH-AA,03 Nov 2011,L1268425,S11312586
989,Black-and-white Shrike-flycatcher,1,"Hans Cottage Botel, Cape Coast",GH-CP,05 Nov 2011,L1651612,S11312603
990,Common Iora,1,Konakwidaw,MM-15,21 Jan 2017,L5293972,S33893588
991,Sabine's Puffback,1,Ebekawopa (Abrafo)--'farm scrub' habitat,GH-CP,05 Nov 2011,L2478617,S11312599
992,Black-crowned Tchagra,1,Shai Hills Resource Reserve,GH-AA,03 Nov 2011,L1268425,S11312586
993,Yellow-crowned Gonolek,1,Sakumono Lagoon,GH-AA,04 Nov 2011,L2027358,S11312588
994,Willie-wagtail,,Cummins Reserve and Wetlands,AU-VIC,19 Sep 2011,L1418196,S9847167
995,Gray Fantail,,Royal Tasmanian Botanical Gardens,AU-TAS,07 Dec 2008,L921573,S9839506
996,New Zealand Fantail,,Mangere WTP--Puketutu Canal,NZ-AUK,25 Sep 2011,L993625,S9847202
997,Fanti Drongo,1,Kakum NP--Canopy Walkway & vicinity,GH-CP,05 Nov 2011,L1268559,S11312594
