Row #,Species,Count,Location,S/P,Date,LocID,SubID
721,Intermediate Egret,1,Bilen Lodge,ET-AF,17 Feb 2018,L3236312,S58094326
722,Little Egret,,Lumphini Park,TH-10,04 Apr 2010,L1068940,S64937404
723,Western Reef-Heron,1,Lake Basaka--north shore,ET-OR,18 Feb 2018,L1550639,S58094348
724,Snowy Egret,,Pt. Pinole Regional Park,US-CA,06 Jan 1991,L109308,S72093793
725,Little Blue Heron,,Florida,US-FL,03 Mar 1996,L108932,S72093705
726,Tricolored Heron,,Florida,US-FL,03 Mar 1996,L108932,S72093705
727,Reddish Egret,,Laguna de Manialtepec,MX-OAX,19 Nov 2007,L221393,S64937484
728,Black Heron,1,Lake Ziway--southwestern shore,ET-OR,28 Feb 2018,L1550649,S58093913
729,Cattle Egret,,Florida,US-FL,03 Mar 1996,L108932,S72093705
730,Squacco Heron,1,Lake Basaka--north shore,ET-OR,18 Feb 2018,L1550639,S58094348
731,Indian Pond-Heron,3,Anawilundawa Bird Sanctuary,LK-6,02 Feb 2020,L7151861,S64034719
732,Chinese Pond-Heron,,Lumphini Park,TH-10,04 Apr 2010,L1068940,S64937404
733,Green Heron,,Bosque del Apache NWR,US-NM,25 Jul 2001,L127945,S72093672
734,Striated Heron,,Lumphini Park,TH-10,04 Apr 2010,L1068940,S64937404
735,Agami Heron,30,Heliconia Lodge,BR-AM,25 Jun 2018,L3172087,S72092185
736,Whistling Heron,1,Campos do Jordão--Av. Pedro Paulo p. Horto Florestal,BR-SP,17 Nov 2019,L10168377,S72091435
737,Capped Heron,,Reserva San Francisco,PA-8,07 Nov 2014,L1092612,S64937263
738,Black-crowned Night-Heron,,Magee Marsh (Ottawa Co.),US-OH,15 May 1994,L275517,S72093718
739,Yellow-crowned Night-Heron,,Florida,US-FL,03 Mar 1996,L108932,S72093705
740,Boat-billed Heron,,Laguna de Manialtepec,MX-OAX,19 Nov 2007,L221393,S64937484
741,White Ibis,,Florida,US-FL,03 Mar 1996,L108932,S72093705
742,Scarlet Ibis,2000,Caroni Swamp,TT-SJL,11 Oct 2017,L616318,S58111570
743,Glossy Ibis,,Florida,US-FL,03 Mar 1996,L108932,S72093705
744,White-faced Ibis,,Bosque del Apache NWR,US-NM,25 Jul 2001,L127945,S72093672
745,Puna Ibis,,Reservorio de Tinajones,PE-LAM,18 Oct 2012,L767939,S64937158
746,Green Ibis,1,Río Inírida--Inírida,CO-GUA,08 Jul 2018,L2613195,S72092125
747,Bare-faced Ibis,6,RN Laguna de Sonso,CO-VAC,05 Jul 2018,L465353,S72092136
748,African Sacred Ibis,2,Addis Ababa--Ghion Hotel,ET-AA,11 Feb 2018,L3016220,S57747638
749,Black-headed Ibis,,Wilpattu National Park (General),LK-7,03 Feb 2020,L4750641,S64937019
750,Hadada Ibis,2,Addis Ababa--Ghion Hotel,ET-AA,11 Feb 2018,L3016220,S57747638
751,Wattled Ibis,20,Addis Ababa-Bahir Dar Rd.,ET-OR,12 Feb 2018,L6869163,S58094053
752,Eurasian Spoonbill,,Mannar Island (General),LK-4,05 Feb 2020,L4611450,S64937064
753,African Spoonbill,1,Lake Coco,ET-OR,18 Feb 2018,L6961557,S61036581
754,Roseate Spoonbill,,Florida,US-FL,03 Mar 1996,L108932,S72093705
755,California Condor,12,Pinnacles NP--Bear Gulch Nature Center,US-CA,23 Apr 2016,L2299857,S72092997
756,Andean Condor,2,Leymeamba to Choctamal Lodge,PE-AMA,08 Oct 2012,L9694359,S64937221
757,King Vulture,,Río Chucunaque,PA-5,04 Nov 2014,L2306454,S64937278
758,Black Vulture,,Florida,US-FL,03 Mar 1996,L108932,S72093705
759,Turkey Vulture,,"Ano Nuevo SP--Visitors Center, Elephant Seals and all trails",US-CA,04 Aug 1990,L109471,S72093807
760,Lesser Yellow-headed Vulture,,Day 5 Darien - Las Lagunas and El Salto,PA-5,05 Nov 2014,L9688798,S64937276
761,Greater Yellow-headed Vulture,,Moyobama towards Jaen,PE-SAM,15 Oct 2012,L9695353,S64937179
762,Secretarybird,1,Aledeghi Wildlife Reserve,ET-AF,17 Feb 2018,L2846177,S58094299
763,Osprey,,"Boat trip, Jonesport - Machias Seal Island",US-ME,22 Jun 1994,L759747,S72093715
764,Pearl Kite,1,Reserva Ecológica Chaparri,PE-LAM,19 Oct 2012,L3966184,S64937151
765,Black-winged Kite,2,Aledeghi Wildlife Reserve,ET-AF,17 Feb 2018,L2846177,S58094299
766,White-tailed Kite,,"Ano Nuevo SP--Visitors Center, Elephant Seals and all trails",US-CA,04 Aug 1990,L109471,S72093807
767,Scissor-tailed Kite,1,Aledeghi Wildlife Reserve,ET-AF,17 Feb 2018,L2846177,S58094299
768,African Harrier-Hawk,1,Abiata Shalla NP--Abijata Lake,ET-OR,20 Feb 2018,L2696254,S61036638
769,Bearded Vulture,,Spain,ES-,27 Jul 2016,L3679729,S64937424
770,Egyptian Vulture,,Spain,ES-,24 Sep 2016,L3679729,S64937384
