Row #,Species,Count,Location,S/P,Date,LocID,SubID
227,Red-naped Sapsucker,2,Golden Gate Park--San Francisco Botanical Garden,US-CA,13 Jan 2022,L1085740,S100680815
228,Red-breasted Sapsucker,1,"Sunol Regional Wilderness, Cerro Este trail",US-CA,12 Nov 2015,L4004289,S25809344
229,Lewis's Woodpecker,2,Smithneck Rd.,US-CA,02 Jun 2017,L934448,S37339521
230,Red-headed Woodpecker,2,"38.357x-77.093 - Jan 12, 2016 1:14 PM",US-VA,24 Dec 2017,L4153530,S41284599
231,Acorn Woodpecker,15,EBMUD--Valle Vista Staging Area (permit required),US-CA,04 Oct 2015,L596210,S25338944
232,Hoffmann's Woodpecker,3,"Villa Mariposa, Nosara, Guanacaste Province, CR (9.991, -85.625)",CR-G,25 Jan 2020,L10573282,S63780787
233,Red-bellied Woodpecker,1,"38.357x-77.093 - Jan 12, 2016 1:14 PM",US-VA,12 Jan 2016,L4153530,S26860262
234,Black-backed Woodpecker,1,Lassen Volcanic NP--Summit Lake,US-CA,18 Aug 2018,L589197,S47958205
235,Downy Woodpecker,1,South Berkeley residential,US-CA,01 Jul 2015,L3756413,S24115390
236,Nuttall's Woodpecker,2,"Tilden Regional Park, Redwood trail",US-CA,20 Jun 2015,L4045474,S23986482
237,Hairy Woodpecker,1,Wildcat Canyon Regional Park,US-CA,28 Jun 2015,L388820,S24088537
238,White-headed Woodpecker,1,Madora Lake,US-CA,03 Jun 2017,L953070,S37381324
239,Pale-billed Woodpecker,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,27 Jan 2020,L10578414,S63858960
240,Lineated Woodpecker,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,27 Jan 2020,L10578414,S63858952
241,Pileated Woodpecker,1,Spring Lake Regional Park,US-CA,24 Sep 2016,L233698,S32503977
242,Northern Flicker,8,EBMUD--Valle Vista Staging Area (permit required),US-CA,04 Oct 2015,L596210,S25338944
243,Crested Caracara,1,"Unnamed Road, Provincia de Guanacaste, CR (10.467, -85.554)",CR-G,25 Jan 2020,L10577162,S63801971
244,American Kestrel,2,Las Gallinas Valley Sanitary District,US-CA,27 Sep 2015,L207664,S25338951
245,Merlin,1,Arroyo Del Valle,US-CA,01 Jan 2016,L472831,S26594090
246,Peregrine Falcon,1,Berkeley Pier,US-CA,21 Nov 2015,L458818,S25976503
247,Prairie Falcon,1,Black Diamond Mines Regional Preserve,US-CA,06 Feb 2016,L451992,S27346113
248,Orange-chinned Parakeet,3,Reserva Biológica Nosara (Lagarta),CR-G,31 Jan 2020,L2032097,S63975059
249,Lilac-crowned Parrot,1,"private - near Curry Canyon, Morgan Territory Road, Clayton, California, US",US-CA,04 Sep 2020,L7914778,S73224579
250,White-fronted Parrot,2,Liberia--Hilton Garden Inn (airport),CR-G,25 Jan 2020,L3653383,S63754068
251,Orange-fronted Parakeet,2,Reserva Biológica Nosara (Lagarta),CR-G,31 Jan 2020,L2032097,S63975059
252,Red-masked Parakeet,2,Fort Mason Park,US-CA,24 Aug 2017,L389606,S38808584
253,Barred Antshrike,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,27 Jan 2020,L10578414,S63858960
254,Olivaceous Woodcreeper,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,26 Jan 2020,L10578414,S63822179
255,Streak-headed Woodcreeper,1,"Unnamed Road, Provincia de Guanacaste, CR (9.967, -85.668)",CR-G,30 Jan 2020,L10653450,S63958251
256,Long-tailed Manakin,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,30 Jan 2020,L10578414,S63958235
257,Masked Tityra,1,"Villa Mariposa, Nosara, Guanacaste Province, CR (9.991, -85.625)",CR-G,25 Jan 2020,L10573282,S63780787
258,Rose-throated Becard,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,28 Jan 2020,L10578414,S63885729
259,Yellow-olive Flycatcher,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,26 Jan 2020,L10578414,S63822179
260,Olive-sided Flycatcher,1,Mt. Diablo SP--summit,US-CA,06 May 2015,L1793192,S25462595
261,Western Wood-Pewee,1,UC Berkeley--Fire Trail,US-CA,10 Jul 2016,L3682792,S30639033
262,Willow Flycatcher,1,Cesar Chavez Park,US-CA,21 Sep 2020,L285281,S73882847
263,Hammond's Flycatcher,1,Garin/Dry Creek Pioneer Regional Park,US-CA,14 Apr 2021,L381784,S85565459
264,Gray Flycatcher,2,Lundy Canyon,US-CA,16 Jun 2018,L1026774,S46589882
265,Dusky Flycatcher,1,Yuba Pass,US-CA,01 Jun 2017,L279294,S37336574
266,Pacific-slope Flycatcher,4,"Tilden Regional Park, Redwood trail",US-CA,20 Jun 2015,L4045474,S23986482
267,Black Phoebe,1,Albany Bulb,US-CA,29 Jan 2015,L178143,S25903682
268,Eastern Phoebe,1,Lake Merced--Boathouse/Harding Park entrance drive,US-CA,09 Dec 2017,L1048752,S40997368
269,Say's Phoebe,1,Las Gallinas Valley Sanitary District,US-CA,27 Sep 2015,L207664,S25338951
270,Ash-throated Flycatcher,1,Del Valle RP - Black Sage trail,US-CA,24 Apr 2016,L4531517,S29189092
271,Nutting's Flycatcher,1,Liberia--Hilton Garden Inn (airport),CR-G,02 Feb 2020,L3653383,S64040457
272,Great Crested Flycatcher,1,"Villa Mariposa, Nosara, Guanacaste Province, CR (9.991, -85.625)",CR-G,26 Jan 2020,L10573282,S63801283
273,Great Kiskadee,1,Liberia--Hilton Garden Inn (airport),CR-G,25 Jan 2020,L3653383,S63754068
274,Social Flycatcher,2,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,26 Jan 2020,L10578414,S63822179
275,Streaked Flycatcher,1,"Villa Mariposa, Nosara, Guanacaste Province, CR (9.991, -85.625)",CR-G,26 Jan 2020,L10573282,S63801283
276,Tropical Kingbird,1,Heather Farm Park,US-CA,09 Mar 2016,L373922,S28073236
277,Cassin's Kingbird,2,Sycamore Grove Park,US-CA,07 Jun 2021,L500410,S89817702
278,Western Kingbird,3,Pacific Commons Linear Park,US-CA,04 Jul 2016,L791702,S30533785
279,Eastern Kingbird,1,Golden Gate Park--West Maintenance Yard,US-CA,10 Sep 2017,L1319375,S39118696
280,Scissor-tailed Flycatcher,2,Liberia--Hilton Garden Inn (airport),CR-G,25 Jan 2020,L3653383,S63754068
281,Lesser Greenlet,5,"Unnamed Road, Provincia de Guanacaste, CR (9.967, -85.668)",CR-G,30 Jan 2020,L10653450,S63958251
282,Hutton's Vireo,3,Tilden Regional Park--Botanic Garden,US-CA,29 Apr 2015,L630069,S24238898
283,Yellow-throated Vireo,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,26 Jan 2020,L10578414,S63822179
284,Cassin's Vireo,1,Tilden RP - Lower Big Springs trail,US-CA,01 May 2016,L4562806,S29348899
285,Philadelphia Vireo,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,30 Jan 2020,L10578414,S63958235
286,Warbling Vireo,2,"Wildcat Canyon Trail, junction picnic area",US-CA,28 Jun 2015,L3757367,S24088441
287,Long-tailed Shrike,1,Margalla Hills (general--Please use more precise locations),PK-IS,03 Jan 2005,L9691913,S98073182
288,Loggerhead Shrike,1,Coyote Hills Regional Park,US-CA,17 Oct 2015,L216132,S25462228
289,Canada Jay,6,Lassen Volcanic NP--Lost Creek Group Campground,US-CA,18 Aug 2018,L746646,S47958150
290,White-throated Magpie-Jay,2,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,26 Jan 2020,L10578414,S63808343
291,Pinyon Jay,8,Goat Ranch Cutoff Rd.,US-CA,15 Jun 2018,L4861467,S46567174
292,Steller's Jay,6,"Tilden Regional Park, Redwood trail",US-CA,20 Jun 2015,L4045474,S23986482
293,Blue Jay,1,"38.357x-77.093 - Jan 12, 2016 1:14 PM",US-VA,13 Jan 2016,L4153530,S26874303
294,California Scrub-Jay,,Pt. Pinole Regional Park,US-CA,17 May 2015,L109308,S26561977
295,Woodhouse's Scrub-Jay,4,Goat Ranch Cutoff Rd.,US-CA,15 Jun 2018,L4861467,S46567174
296,Black-billed Magpie,3,Loyalton WTP,US-CA,02 Jun 2017,L740467,S37337134
297,Yellow-billed Magpie,1,US-California-Livermore-Ohlone Wilderness Trail - 37.538x-121.708,US-CA,07 Feb 2016,L4229077,S27369409
298,Clark's Nutcracker,2,"Pinecrest Chalet, Pinecrest, California, US (38.185, -119.99)",US-CA,24 Nov 2017,L6502756,S40697844
